Name: Sharp, Description: Best Speed Damage Player comming soon!, AvgPoints: 5, Rank: A, Speed: B, Endurance: S, Combat: A, Tactical: A, Adaptability: A, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: J, Description: Has Potential!, AvgPoints: 3.3333333333333335, Rank: C, Speed: C, Endurance: A, Combat: E, Tactical: B, Adaptability: B, Experience: C, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Bruh, Description: Consistent!, AvgPoints: 5.166666666666667, Rank: A, Speed: A, Endurance: SS, Combat: B, Tactical: A, Adaptability: A, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Suka, Description: Pupsik! Fast af and can very quickly adapt himself to opponents Playstyle!, AvgPoints: 6.5, Rank: SS, Speed: S, Endurance: S, Combat: A, Tactical: SS, Adaptability: X, Experience: SS, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Zero1, Description: Pro Racist! Racing Rank: X! Bomb Rank: Z!, AvgPoints: 2.6666666666666665, Rank: C, Speed: C, Endurance: C, Combat: C, Tactical: D, Adaptability: D, Experience: C, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Miro, Description: Trees are his worst Enemies! X Rank potential!, AvgPoints: 5.666666666666667, Rank: S, Speed: A, Endurance: S, Combat: B, Tactical: SS, Adaptability: SS, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: fabiasheen, Description: Likes to use the edges of the Map! Pro Sniper Player incomming?, AvgPoints: 4.5, Rank: A, Speed: B, Endurance: A, Combat: B, Tactical: B, Adaptability: A, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Bruki, Description: Aim: X! Movement: F!, AvgPoints: 5.333333333333333, Rank: A, Speed: A, Endurance: A, Combat: A, Tactical: S, Adaptability: S, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Reanu, Description: Definitely not a Bomb Player! Go play High Damage Reanu :D!, AvgPoints: 3.8333333333333335, Rank: B, Speed: B, Endurance: C, Combat: B, Tactical: A, Adaptability: B, Experience: C, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
Name: Paladino, Description: Good Aim! Bad Movement!, AvgPoints: 5, Rank: A, Speed: A, Endurance: B, Combat: A, Tactical: S, Adaptability: A, Experience: A, Duel Score: 0, Wins: 0, Losses: 0, Draws: 0
